id	rate
22025	9.6
22027	7.5
22029	9.2
22031	8.0
22033	5.7
22035	11.8
22037	6.2
22039	8.5
22041	9.6
22043	7.8
22045	9.7
22047	7.4
22049	6.3
22051	5.9
22053	6.7
22055	6.7
22057	6.7
22059	6.7
22061	7.5
22063	5.3
22065	9.4
22067	10.4
22069	8.1
22071	6.7
22073	6.7
22075	5.9
22077	7.2
22079	6.9
22081	6.8
22083	7.7
22085	7.3
22087	6.9
22089	6.0
22091	8.5
22093	8.1
22095	7.5
22097	8.9
22099	8.3
22101	10.1
22103	5.7
22105	7.5
22107	10.5
22109	7.3
22111	6.9
22113	7.9
22115	8.1
22117	7.9
22119	9.4
22121	6.1
22123	12.0
22125	5.5
22127	8.5
23001	3.2
23003	4.8
23005	2.6
23007	4.0
23009	3.2
23011	3.2
23013	2.7
23015	2.9
23017	4.2
23019	4.0
23021	4.8
23023	2.6
23025	4.9
23027	3.6
23029	4.6
23031	2.9
24001	6.4
24003	4.0
24005	4.7
24009	4.1
24011	4.8
24013	3.8
24015	5.3
24017	4.7
24019	6.2
24021	3.9
24023	5.2
24025	4.3
24027	3.4
24029	4.7
24031	3.4
24033	4.6
24035	3.8
24037	4.5
24039	6.5
24041	4.0
24043	5.2
24045	5.5
24047	5.8
24510	6.9
25001	3.4
25003	3.9
25005	4.7
25007	2.7
25009	3.9
25011	3.3
25013	5.3
25015	3.6
25017	3.2
25019	1.8
25021	3.4
25023	4.0
25025	3.7
25027	4.1
26001	5.8
26003	6.1
26005	3.3
26007	5.0
26009	5.0
26011	6.3
26013	6.8
26015	3.5
26017	4.7
26019	4.6
26021	4.4
26023	4.4
26025	4.4
26027	4.2
26029	3.7
26031	4.0
26033	6.0
26035	6.0
26037	3.4
26039	6.2
26041	5.5
26043	4.5
26045	3.6
26047	4.1
26049	5.0
26051	5.8
26053	5.5
26055	3.4
26057	4.5
26059	4.9
26061	5.2
26063	4.3
26065	4.0
26067	3.6
26069	5.8
26071	4.7
26073	4.2
26075	4.6
26077	3.7
26079	5.4
26081	3.2
26083	6.4
26085	6.0
26087	6.4
26089	3.5
26091	4.4
26093	4.6
26095	4.4
26097	3.1
26099	5.9
26101	4.9
26103	4.9
26105	4.2
26107	4.9
26109	5.1
26111	4.1
26113	4.8
26115	4.3
26117	4.5
26119	7.6
26121	4.8
26123	4.2
26125	4.7
26127	5.0
26129	6.3
26131	6.6
26133	4.9
26135	5.6
26137	4.9
26139	3.0
26141	6.6
26143	6.8
26145	4.6
26147	6.5
26149	3.7
26151	5.2
26153	7.0
26155	4.6
26157	5.3
26159	4.6
26161	3.5
26163	7.3
26165	5.1
27001	5.1
27003	3.8
27005	3.8
27007	4.8
27009	3.7
27011	4.0
27013	3.3
27015	3.9
27017	4.9
27019	3.4
27021	5.6
27023	4.0
27025	3.9
27027	3.2
27029	7.6
27031	3.1
27033	7.9
27035	4.3
27037	3.5
27039	3.6
27041	3.0
27043	3.9
27045	3.7
27047	3.7
27049	3.7
27051	4.1
27053	3.5
27055	3.4
27057	5.5
27059	4.2
27061	7.7
27063	4.0
27065	5.1
27067	3.5
27069	4.2
27071	7.7
27073	3.9
27075	4.3
27077	4.5
27079	3.7
27081	3.2
27083	3.4
27085	4.1
27087	5.2
27089	5.6
27091	3.9
27093	4.0
27095	4.8
27097	4.5
27099	3.0
27101	3.3
27103	2.9
27105	3.6
27107	4.6
27109	3.0
27111	3.6
27113	4.3
27115	4.8
27117	3.0
27119	4.4
27121	2.8
27123	3.8
27125	6.3
27127	4.0
27129	5.2
27131	3.6
27133	2.2
27135	4.3
27137	5.7
27139	3.2
27141	3.6
27143	3.7
27145	3.5
27147	3.8
27149	2.7
27151	4.8
27153	3.9
27155	3.0
27157	3.2
27159	5.1
27161	4.0
27163	3.4
27165	5.1
27167	3.4
27169	3.7
27171	3.5
27173	3.7
28001	8.2
28003	5.0
28005	7.1
28007	6.5
28009	6.5
28011	7.4
28013	5.2
28015	7.3
28017	6.3
28019	5.3
28021	12.3
28023	6.4
28025	7.8
28027	8.1
28029	6.4
28031	5.6
28033	4.1
28035	5.8
28037	6.8
28039	7.7
28041	8.0
28043	4.9
28045	5.9
28047	5.3
28049	5.2
28051	10.9
28053	11.2
28055	9.9
28057	4.8
28059	6.4
28061	7.8
28063	15.4
28065	9.3
28067	5.9
28069	8.2
28071	4.9
28073	4.5
28075	5.8
28077	7.4
28079	5.6
28081	4.8
28083	9.0
28085	5.8
28087	5.9
28089	4.2
28091	6.8
28093	5.7
28095	6.3
28097	6.3
28099	5.4
28101	5.9
28103	8.0
28105	5.6
28107	6.7
28109	5.9
28111	7.0
28113	6.7
28115	4.5
28117	5.3
28119	8.3
28121	3.8
28123	4.5
28125	8.0
28127	5.5
28129	5.1
28131	6.8
28133	8.4
28135	5.7
28137	5.4
28139	5.2
28141	5.1
28143	6.1
28145	4.2
28147	7.9
28149	6.4
28151	9.2
28153	7.6
28155	6.1
28157	10.1
28159	7.4
28161	6.0
28163	7.0
29001	6.7
29003	4.5
29005	5.9
29007	5.1
29009	5.3
29011	6.0
29013	6.0
29015	7.3
29017	6.2
29019	4.1
29021	4.9
29023	6.9
29025	5.6
29027	5.2
29029	5.5
29031	5.3
29033	5.9
29035	7.8
29037	5.0
29039	6.4
29041	5.1
29043	4.5
29045	8.7
29047	4.5
29049	5.0
29051	4.6
29053	5.7
29055	5.9
29057	5.6
29059	6.5
29061	4.6
29063	5.1
29065	6.6
29067	7.3
29069	9.1
29071	4.9
29073	5.0
29075	4.7
29077	4.6
29079	5.6
29081	4.7
29083	5.9
29085	6.6
29087	4.0
29089	5.4
29091	7.2
29093	8.4
29095	6.0
29097	5.2
29099	4.9
29101	6.1
29103	4.1
29105	6.2
29107	4.9
29109	5.4
29111	4.9
29113	4.8
29115	9.0
29117	4.5
29119	4.9
29121	6.0
29123	6.9
29125	6.8
29127	5.0
29129	5.0
29131	5.4
29133	7.7
29135	4.9
29137	5.5
29139	5.1
29141	6.4
29143	9.9
29145	5.5
29147	6.0
29149	7.0
29151	4.2
29153	8.8
29155	9.9
29157	4.3
29159	6.1
29161	5.6
29163	5.4
29165	4.4
29167	6.4
29169	6.8
29171	5.1
29173	4.4
29175	6.6
29177	5.5
29179	8.1
29181	8.4
29183	4.1
29185	7.3
29186	5.8
29187	6.7
29189	5.1
29195	5.8
29197	7.6
29199	4.6
29201	6.9
29203	8.0
29205	4.8
29207	7.1
29209	6.0
29211	7.4
29213	6.1
29215	7.6
29217	5.8
29219	4.6
29221	7.2
29223	6.1
29225	5.9
29227	3.6
29229	7.3
29510	6.6
30001	2.9
30003	7.7
30005	4.4
30007	4.3
30009	3.5
30011	2.4
30013	3.8
30015	3.6
30017	3.7
30019	2.3
30021	4.0
30023	4.2
30025	3.1
30027	3.3
30029	4.8
30031	2.3
30033	2.4
30035	9.0
30037	3.2
30039	5.5
30041	4.9
30043	4.5
30045	2.7
30047	4.8
30049	3.3
30051	3.1
30053	7.9
30055	2.1
30057	3.1
30059	4.2
30061	7.1
30063	3.5
30065	4.3
30067	3.3
30069	3.1
30071	4.6
30073	4.7
30075	2.5
30077	4.5
30079	3.0
30081	4.5
30083	4.9
30085	6.2
30087	6.8
30089	7.0
30091	3.2
30093	4.3
30095	3.9
30097	2.9
30099	3.5
30101	3.3
30103	4.1
30105	3.0
30107	4.9
30109	4.6
30111	3.7
31001	3.3
31003	2.5
31005	5.4
31007	4.2
31009	4.1
31011	2.8
31013	3.6
31015	2.8
31017	3.5
31019	2.8
31021	3.6
31023	3.2
31025	3.5
31027	2.8
31029	2.5
31031	2.5
31033	3.3
31035	3.0
31037	3.2
31039	3.2
31041	2.6
31043	4.5
31045	3.4
31047	3.0
31049	3.4
31051	3.4
31053	3.3
31055	3.5
31057	2.5
31059	2.8
31061	3.3
31063	2.8
31065	3.3
31067	3.5
31069	3.2
31071	2.7
31073	2.7
31075	2.6
31077	3.7
31079	3.4
31081	2.9
31083	2.9
31085	2.8
31087	4.1
31089	3.1
31091	2.7
31093	2.9
31095	2.7
31097	3.1
31099	2.4
31101	3.0
31103	2.3
31105	4.3
31107	2.8
31109	3.0
31111	3.2
31113	3.0
31115	3.7
31117	2.5
31119	3.0
31121	3.7
31123	3.5
31125	2.9
31127	4.3
31129	3.0
31131	3.6
31133	2.4
31135	2.5
31137	2.8
31139	2.5
31141	3.5
31143	2.7
31145	3.2
31147	3.3
31149	2.6
31151	3.1
31153	3.1
31155	3.2
31157	3.8
31159	3.1
31161	3.4
31163	3.3
31165	2.6
31167	2.7
31169	2.8
31171	3.2
31173	4.6
31175	2.9
31177	3.2
31179	3.4
31181	3.7
31183	2.7
31185	2.9
32001	5.8
32003	6.0
32005	5.3
32007	4.4
32009	4.7
32011	5.1
32013	5.5
32015	5.9
32017	5.3
32019	7.3
32021	8.6
32023	7.5
32027	6.0
32029	5.8
32031	4.9
32033	4.6
32510	6.0
33001	2.6
33003	2.8
33005	2.9
33007	3.5
33009	2.4
33011	3.2
33013	2.6
33015	3.1
33017	2.7
33019	2.5
34001	7.1
34003	4.7
34005	5.0
34007	6.0
34009	5.7
34011	7.9
34013	6.6
34015	5.6
34017	5.2
34019	4.1
34021	4.9
34023	4.9
34025	4.8
34027	4.2
34029	5.4
34031	6.8
34033	6.8
34035	4.4
34037	5.0
34039	5.6
34041	5.1
35001	6.2
35003	6.9
35005	6.9
35006	9.1
35007	5.6
35009	5.4
35011	5.0
35013	7.1
35015	7.2
35017	6.6
35019	6.4
35021	7.3
35023	5.4
35025	9.8
35027	6.0
35028	4.5
35029	10.0
35031	9.8
35033	8.0
35035	6.4
35037	7.0
35039	7.3
35041	6.1
35043	7.1
35045	9.4
35047	8.1
35049	5.5
35051	7.8
35053	8.0
35055	8.3
35057	9.3
35059	4.5
35061	7.6
36001	4.0
36003	4.9
36005	7.8
36007	5.0
36009	5.2
36011	4.4
36013	5.1
36015	5.2
36017	4.4
36019	5.1
36021	3.3
36023	4.6
36025	4.9
36027	4.0
36029	4.6
36031	4.1
36033	4.8
36035	5.2
36037	3.8
36039	4.5
36041	2.9
36043	4.4
36045	5.1
36047	5.9
36049	5.4
36051	4.2
36053	4.6
36055	4.6
36057	5.2
36059	3.8
36061	4.9
36063	5.2
36065	4.3
36067	4.2
36069	3.7
36071	4.2
36073	5.2
36075	5.7
36077	4.3
36079	3.9
36081	5.0
36083	4.1
36085	5.9
36087	4.1
36089	5.8
36091	3.5
36093	4.2
36095	4.7
36097	4.6
36099	3.8
36101	5.0
36103	4.3
36105	4.1
36107	4.5
36109	3.7
36111	4.3
36113	4.1
36115	3.8
36117	4.5
36119	4.2
36121	4.1
36123	3.7
37001	4.8
37003	4.5
37005	5.1
37007	5.9
37009	4.5
37011	4.8
37013	5.6
37015	6.4
37017	6.7
37019	5.7
37021	3.9
37023	5.1
37025	4.6
37027	5.3
37029	5.3
37031	4.7
37033	5.5
37035	4.9
37037	4.3
37039	5.4
37041	6.5
37043	5.1
37045	5.6
37047	6.1
37049	5.1
37051	6.3
37053	4.6
37055	4.2
37057	4.9
37059	4.6
37061	5.4
37063	4.5
37065	8.5
37067	4.9
37069	5.1
37071	5.3
37073	5.2
37075	7.1
37077	4.4
37079	5.0
37081	5.3
37083	7.8
37085	5.8
37087	4.4
37089	4.3
37091	6.5
37093	6.5
37095	6.4
37097	4.7
37099	5.1
37101	4.5
37103	5.1
37105	5.7
37107	5.4
37109	4.6
37111	4.6
37113	5.1
37115	4.9
37117	6.8
37119	4.7
37121	6.0
37123	5.2
37125	5.0
37127	6.8
37129	4.7
37131	7.3
37133	5.4
37135	4.5
37137	5.1
37139	6.2
37141	5.2
37143	6.3
37145	5.4
37147	5.7
37149	4.9
37151	4.8
37153	6.9
37155	7.3
37157	5.5
37159	5.5
37161	6.6
37163	5.6
37165	8.9
37167	4.7
37169	4.9
37171	4.8
37173	4.9
37175	4.8
37177	6.2
37179	4.4
37181	7.3
37183	4.2
37185	7.0
37187	6.9
37189	4.7
37191	5.6
37193	4.7
37195	8.1
37197	4.4
37199	5.1
38001	2.3
38003	3.2
38005	3.1
38007	2.5
38009	3.2
38011	1.8
38013	3.8
38015	2.3
38017	2.0
38019	1.9
38021	1.8
38023	2.0
38025	2.2
38027	2.8
38029	3.1
38031	2.5
38033	2.4
38035	2.3
38037	2.1
38039	2.3
38041	2.9
38043	2.6
38045	2.0
38047	2.9
38049	4.1
38051	2.4
38053	3.1
38055	3.1
38057	4.5
38059	2.9
38061	2.9
38063	2.9
38065	5.3
38067	4.5
38069	3.0
38071	2.5
38073	1.9
38075	3.5
38077	2.7
38079	14.2
38081	1.6
38083	3.7
38085	5.3
38087	2.3
38089	3.3
38091	1.7
38093	2.1
38095	2.0
38097	2.7
38099	3.6
38101	3.5
38103	2.7
38105	3.7
39001	6.8
39003	4.6
39005	4.3
39007	5.3
39009	6.0
39011	3.5
39013	6.3
39015	5.0
39017	4.2
39019	6.0
39021	4.1
39023	4.7
39025	4.1
39027	5.4
39029	6.0
39031	6.2
39033	5.5
39035	5.5
39037	3.7
39039	4.3
39041	3.4
39043	4.6
39045	3.9
39047	3.9
39049	3.9
39051	4.0
39053	6.4
39055	4.4
39057	4.2
39059	5.8
39061	4.2
39063	3.5
39065	4.9
39067	6.4
39069	4.2
39071	5.5
39073	4.5
39075	3.3
39077	5.0
39079	7.0
39081	7.4
39083	4.1
39085	4.8
39087	6.1
39089	4.1
39091	3.9
39093	5.9
39095	4.9
39097	3.5
39099	5.8
39101	4.7
39103	4.3
39105	7.6
39107	3.0
39109	4.0
39111	9.1
39113	4.6
39115	6.8
39117	4.4
39119	5.3
39121	7.3
39123	4.6
39125	4.2
39127	5.5
39129	4.2
39131	6.8
39133	4.5
39135	4.3
39137	3.2
39139	4.9
39141	4.8
39143	4.1
39145	7.0
39147	4.4
39149	3.7
39151	4.9
39153	4.7
39155	6.0
39157	5.0
39159	3.5
39161	3.7
39163	5.9
39165	3.9
39167	6.4
39169	3.6
39171	4.1
39173	4.0
39175	3.4
40001	5.8
40003	3.6
40005	7.1
40007	3.2
40009	7.7
